Title By Author,Price,Price D.,Rating,Unknown
Eat That Frog ! By Brian Tracy,Rs. 400,(3),,
The Lean Startup By Eric Ries,"Rs. 1,120",,,
"The 4-Hour Work Week: Escape The 9-5, Live Anywhere And Join The New Rich - Timothy Ferriss","Rs. 1,120",,,
Samaya Byawasthapan By Dr.Sudhir Dixit,Rs. 45,Rs. 50,-10%,(1)
Laxmi Nibandha Sangraha By Laxi Pdr Devkota,Rs. 270,Rs. 300,-10%,
Be Rich And Happy By Robert T. Kiyosaki With Hal Zina Bennett,Rs. 560,,,
Zero To One By Blake Masters & Peter Thiel,Rs. 880,(1),,
Mans Search For Meaning By Viktor E Frankl,Rs. 500,,,
We Are Displaced By Malala Yousazai,Rs. 640,,,
The Snowball By Warren Buffet,"Rs. 1,232",(2),,
Money Master The Game By Tony Robbins,"Rs. 1,120",,,
Road To Success By Napoleon Hill,Rs. 440,,,
The Art Of Living - Norman Vincent Peale,Rs. 380,,,
How To Win Friends And Influence People By Dale Carnegie,Rs. 399,(6),,
The Subtle Art Of Not Giving A F*Ck And Everything Is F*Cked Box Of Two Books,"Rs. 1,600",(8),,
The Power Of Your Subconscious Mind + The Power Of Positive Thinking (Pack Of 2) By Joseph Murphy & Norman Vincent Peale,Rs. 700,(3),,
Perfume: The Story Of A Murderer By Patrick Suskind,Rs. 800,,,
The Women In The Window By A.J. Finn,Rs. 640,(2),,
The Magic Of Thinking Big By David J Schwartz,Rs. 800,(2),,
Million Dollar Habits By Tracy Brian,Rs. 480,,,
How To Invest In Stock Market By Rabindra Bhattarai,Rs. 220,,,
Hamlet (Nepali) By William Shakespeare,Rs. 125,,,
Eaina By Ram Lal Joshi,Rs. 350,,,
The Personal Mba: A World-Class Business Education In A Single Volume By Josh Kaufman,Rs. 999,(2),,
The Richest Man In Babylon - Fingerprint! By Clason George S.,Rs. 320,(1),,
This Is Marketing By Seth Godin,"Rs. 1,120",(1),,
Harry Potter Box Set By J.K. Rowling,"Rs. 7,777",(2),,
Positive Imaging By Dr. Norman Vincent Peale,Rs. 475,Rs. 480,-1%,
Grey: Fifty Shades Of Grey As Told By Christian By E.L James,Rs. 800,,,
The Monk Who Sold His Ferrari By Robin Sharma,Rs. 360,Rs. 380,-5%,(7)
Palpasa Cafe By Narayan Wagle,Rs. 400,Rs. 480,-17%,
The First 20 Hours By Josh Kaufman,Rs. 799,,,
The Hate U Give By Angie Thomas,Rs. 635,Rs. 640,-1%,
Set Of Six Self-Help Books (If You Read These Book You Can Change Your Life),"Rs. 1,890","Rs. 2,100",-10%,
Crazy Rich Asians By Kevin Kwan,Rs. 638,,,
What I Wish I Knew When I Was 20 By Tina Seelig,Rs. 800,,,
Corporate Chanakya By Radhakrishnan Pillai,Rs. 560,(2),,
13 Keys To Success By Napoleon Hill,Rs. 320,,,
Mother By Maxim Gorky,Rs. 380,Rs. 400,-5%,
Set Of 4 Self-Help Books,"Rs. 1,400",(28),,
Radha By Krishna Dharabasi,Rs. 400,,,
The Subtle Art Of Not Giving A Fuck By Mark Manson,Rs. 800,(26),,
The Power Of Your Subconscious Mind By Joseph Murphy,Rs. 350,(3),,
Summar Love By Subin Bhattarai,Rs. 300,,,
Everything Is Fucked : A Book About Hope By Mark Manson,Rs. 800,(2),,
Budho Manchhe Ra Samudra By Ernest Hemingway,Rs. 125,(1),,
Seto Dharti By Amar Neupane,Rs. 444,,,
Set Of Two Books( The Richest Man In Babylon & The Science Of Getting Rich),Rs. 570,,,
The Intelligent Investor By Benjamin Graham,"Rs. 1,440",(10),,
The Art Of Public Speaking By Dale Carnegie,Rs. 320,(2),,
Self Combo(The Art Of Public Speaking & The Leader In You),Rs. 750,,,
Who Will Cry When You Die? By Sharma & Robin S.,Rs. 320,(1),,
Rich Dad Poor Dad: What The Rich Teach Their Kids About Money That The Poor And Middle Class Do Not - Robert T. Kiyosaki,Rs. 640,(22),,
The Art Of Happiness By Dalai Lama,Rs. 800,(1),,
Shireesh Ko Phool By Parijat,Rs. 200,(1),,
"Don,T Polish Your Ignorance By Sadhguru",Rs. 480,,,
Life Without Limits By Nick Vujicic,Rs. 800,,,
Pyjamas Are Forgiving By Twinkle Khanna,Rs. 560,,,
The Power Of Positive Thinking By Norman Vincent Peale,Rs. 350,(5),,
Deep Work By Cal Newport,Rs. 640,(3),,
Think And Grow Rich - Napoleon Hill,Rs. 350,(4),,
Fact Ful Ness By Hans Rosling,Rs. 800,,,
The Leader In You By Dale Carnegie,Rs. 399,,,
Raavan - Enemy Of Aryavarta By Amish Tripathi,Rs. 640,,,
The Quick And Easy Way To Effective Speaking By Dale Carnegie,Rs. 320,,,
Think And Grow Rich By Napolean Hill,Rs. 350,(8),,
"Life,S Amazing Secrets By Gaur Gopal Das",Rs. 400,(5),,
The Science Of Getting Rich By Wallace D. Wattles,Rs. 250,,,
Perfect By Cecelia Ahern,Rs. 640,,,
Top Visionaries Who Changed The World,Rs. 640,,,
The 7 Habits Of Highly Effective People By Stephen R. Covey,Rs. 960,(1),,
8 Positive Attitudes By Robert H. Schuller,Rs. 320,,,
How To Stop Worrying & Start Living By Dale Carnegie,Rs. 350,,,
Crushing It By Gary Vaynerchuk,Rs. 999,,,
The Power Of Now By Eckhart Tolle,Rs. 800,(5),,
Mind Is Your Business & Body The Greatest Gadget By Sadhguru,Rs. 480,(1),,
The 5 Am Club By Robin Sharma,Rs. 560,(3),,
Eat That Frog ! By Brian Tracy,Rs. 400,(3),,
The Lean Startup By Eric Ries,"Rs. 1,120",,,
"The 4-Hour Work Week: Escape The 9-5, Live Anywhere And Join The New Rich - Timothy Ferriss","Rs. 1,120",,,
Samaya Byawasthapan By Dr.Sudhir Dixit,Rs. 45,Rs. 50,-10%,(1)
Laxmi Nibandha Sangraha By Laxi Pdr Devkota,Rs. 270,Rs. 300,-10%,
Be Rich And Happy By Robert T. Kiyosaki With Hal Zina Bennett,Rs. 560,,,
Set Of Six Books,"Rs. 2,260",,,
Mans Search For Meaning By Viktor E Frankl,Rs. 500,,,
We Are Displaced By Malala Yousazai,Rs. 640,,,
The Snowball By Warren Buffet,"Rs. 1,232",(2),,
Money Master The Game By Tony Robbins,"Rs. 1,120",,,
Road To Success By Napoleon Hill,Rs. 440,,,
The Art Of Living - Norman Vincent Peale,Rs. 380,,,
How To Win Friends And Influence People By Dale Carnegie,Rs. 399,(6),,
The Subtle Art Of Not Giving A F*Ck And Everything Is F*Cked Box Of Two Books,"Rs. 1,600",(8),,
The Power Of Your Subconscious Mind + The Power Of Positive Thinking (Pack Of 2) By Joseph Murphy & Norman Vincent Peale,Rs. 700,(3),,
Perfume: The Story Of A Murderer By Patrick Suskind,Rs. 800,,,
The Women In The Window By A.J. Finn,Rs. 640,(2),,
The Magic Of Thinking Big By David J Schwartz,Rs. 800,(2),,
Million Dollar Habits By Tracy Brian,Rs. 480,,,
How To Invest In Stock Market By Rabindra Bhattarai,Rs. 220,,,
Hamlet (Nepali) By William Shakespeare,Rs. 125,,,
Eaina By Ram Lal Joshi,Rs. 350,,,
The Personal Mba: A World-Class Business Education In A Single Volume By Josh Kaufman,Rs. 999,(2),,
The Richest Man In Babylon - Fingerprint! By Clason George S.,Rs. 320,(1),,
This Is Marketing By Seth Godin,"Rs. 1,120",(1),,
Harry Potter Box Set By J.K. Rowling,"Rs. 7,777",(2),,
Positive Imaging By Dr. Norman Vincent Peale,Rs. 475,Rs. 480,-1%,
Grey: Fifty Shades Of Grey As Told By Christian By E.L James,Rs. 800,,,
The Monk Who Sold His Ferrari By Robin Sharma,Rs. 360,Rs. 380,-5%,(7)
Palpasa Cafe By Narayan Wagle,Rs. 400,Rs. 480,-17%,
The First 20 Hours By Josh Kaufman,Rs. 799,,,
The Hate U Give By Angie Thomas,Rs. 635,Rs. 640,-1%,
Set Of Six Self-Help Books (If You Read These Book You Can Change Your Life),"Rs. 1,890","Rs. 2,100",-10%,
Crazy Rich Asians By Kevin Kwan,Rs. 638,,,
What I Wish I Knew When I Was 20 By Tina Seelig,Rs. 800,,,
Corporate Chanakya By Radhakrishnan Pillai,Rs. 560,(2),,
13 Keys To Success By Napoleon Hill,Rs. 320,,,
Mother By Maxim Gorky,Rs. 380,Rs. 400,-5%,
The Boy In The Striped Pyjamas By John Boyne,Rs. 480,,,
The Giver Of Stars By Jojo Moyes,"Rs. 1,120",,,
Capital By Karl Marx,Rs. 960,(1),,
Brain Power By Michael Gelb,Rs. 555,Rs. 560,-1%,(1)
Flawed By Cecelia Ahern,Rs. 560,,,
Get Smart By Tracy Brian,Rs. 395,Rs. 400,-1%,(1)
Stock Market In Nepal By Rabindra Bhattarai,Rs. 250,,,
One Of Us Is Lying By Karen M. Mcmanus,Rs. 560,,,
And The Mountains Echoed By Khaled Hosseini,Rs. 800,(1),,
"Who Says You Can,T You Do By Daniel Chidiac",Rs. 899,Rs. 960,-6%,(1)
Mindset: How You Can Fulfill Your Potential - Dr Carol S. Dweck,Rs. 638,(2),,
How Will Capitalism End? By Wolfgang Streeck,Rs. 960,,,
You Can Win By Shiv Khera,Rs. 640,(2),,
Super Student By Olav Schewe,Rs. 640,,,
Sense & Sensibility By Austen Jane,Rs. 290,Rs. 320,-9%,
The Perks Of Being A Wallflower - Stephen Chbosky,Rs. 478,,,
How To Win Friends & Influence People By Dale Carnegie,Rs. 350,(10),,
Barking Up The Wrong Tree By Eric Barker,Rs. 790,Rs. 800,-1%,
The Great Gatsby By F. Scott Fitzgerald,Rs. 240,,,
You Can Sell By Shiv Khera,Rs. 638,,,
International Bestseller 12 Books,"Rs. 5,555","Rs. 6,200",-10%,
A Game Of Thrones: The Story Continues By George R. R. Martin,"Rs. 6,715",,,
John Green Book Set,"Rs. 1,900","Rs. 1,920",-1%,
Set Of Three (The Power Of Positive Thinking + The Subtle Art + How To Stop Worrying,"Rs. 1,500",,,
"To All The Boys I""Ve Loved Before By Jenny Han",Rs. 880,,,
Sita By Amish,Rs. 640,,,
How To Win Friends And Influence People By Dale Carnegie,Rs. 399,(2),,
Doshi Chasma By Bishweshwar Prasad Koirala,Rs. 270,,,
Good Economics for Hard Times By Banerjee Abhijit V.,"Rs. 1,120",,,
Laxmi Pdr Devkota Collection,"Rs. 1,590",,,
Why We Want To Be Rich By Robert T. Kiyosaki & Donald J. Trump,"Rs. 1,199","Rs. 1,280",-6%,
Luni By Laxmi Prasad Devkota,Rs. 125,,,
Set Of Three ( The 7 Habits + Light On Yoga + Asana Pranayama),"Rs. 2,720",,,
The Zahir By Paulo Coelho,Rs. 560,,,
The Book Thief By Markus Zusak,Rs. 880,,,
The Secret Of Nagas By Amish,Rs. 640,(2),,
The Girl In Room 105 By Chetan Bhagat,Rs. 320,(1),,
Adultery By Paulo Coelho,Rs. 480,,,
The Sun & Her Flowers - Rupi Kaur,Rs. 798,,,
All The Light We Cannot See By Anthony Doerr,Rs. 800,,,
Set Of Three( The Diary Of Young Girl+Mein Kampf+ Animal Farm),"Rs. 1,250",,,
Badalindo Nepali Samaj By Chaitanya Mishra,Rs. 315,Rs. 350,-10%,
The City Son - A Novel By Samrat Upadhyay,Rs. 449,Rs. 472,-5%,
The Little Prince By Antoine De Saint-Exupéry,Rs. 230,Rs. 250,-8%,
The Magic By Rhanda Byrne,Rs. 800,,,
Animal Farm By George Orwell,Rs. 199,Rs. 250,-20%,(1)
Diary Of A Wimpy Kid: The Third Wheel (Book 7) - The Third Wheel Jeff Kinney,Rs. 560,,,
Daily Inspiration By Robin Sharma,Rs. 520,,,
The Lord Of The Rings By J. R. R. Tolkien,"Rs. 1,600",,,
How To Develop Self-Confidence & Influence People By Public Speaking By Dale Carnegie,Rs. 315,Rs. 320,-2%,
Himalayan Lust By Sadhguru,Rs. 499,,,
Turtles All The Way Down By John Green,Rs. 635,Rs. 640,-1%,
Capital By Karl Marx,Rs. 960,,,
Chetan Bhagat Combo Of 4 Books,"Rs. 1,500","Rs. 1,600",-6%,(1)
Sathiharu Ko Man Jitne Tatha Manishharu Lai Prabhav Parne Kala By Dale Carnegie,Rs. 225,Rs. 250,-10%,
Harry Potter And The Order Of The Phoenix By J.K. Rowling,"Rs. 1,280",,,
P.S. I Still Love You By Jenny Han,Rs. 699,,,
Set Of 2 Classic Books On Money Making Mantra By Robert T. Kiyosaki & Timothy Ferriss),"Rs. 1,760",,,
Why Rich Are Getting Richer By Robert T. Kiyosaki,Rs. 635,Rs. 640,-1%,
Harry Potter And The Half-Blood Prince By J.K. Rowling,"Rs. 1,280",,,
Midnights With The Mystic By Sadhguru,Rs. 478,,,
Set Of Three(The Power Of Your Subconscious Mind+The 7 Habits+ How To Stop Worrying),"Rs. 1,660",,,
The Time Machine By H.G Wells,Rs. 200,,,
The Golden Rules Of Success By Napoleon Hill,Rs. 640,,,
Self-Help Combo (The Power Of Positive Thinking & How To Win Friends And Influence People),Rs. 700,(1),,
Set Of Four Books,"Rs. 3,230",,,
Think & Grow Rich(Hardcover) By Napoleon Hill,Rs. 640,(1),,
Attitude Is Everything By Jeff Keller,Rs. 350,,,
Diary Of A Wimpy Kid: Hard Luck (Book 8) By Jeff Kinney,Rs. 560,,,
The Grid By Matt Watkinson,Rs. 799,,,
Set Of Three ( The Diary Of Young Girl + Siddhartha + Relativity),"Rs. 1,050",,,
International Bestseller 2 Books,"Rs. 1,199","Rs. 1,360",-12%,
Narendra Dai By Bishweshwar Prasad Koirala,Rs. 200,Rs. 250,-20%,
How Compatible Are You? By Pease Allan Barbara,Rs. 288,Rs. 320,-10%,
Set Of 2 Self Help Books By Rhonda Byrne & Mark Manson,"Rs. 2,080",,,
Cell By Cook Robin,Rs. 720,Rs. 800,-10%,
Bishweshwar Prasad Koirala Combo 5 Books,"Rs. 1,025","Rs. 1,220",-16%,
Dekheko Desh By Mohan Mainali,Rs. 360,Rs. 400,-10%,
The Tibetan Book Of Living And Dying By Rinpoche Sogyal,Rs. 800,,,
"Paulo Coelho : The Classic Collection Set Of 3 (The Alchemist, Eleven Minutes, Veronika Decides To Die)","Rs. 1,680",,,
Ram By Amish,Rs. 635,Rs. 640,-1%,(1)
Awaken The Giant Within By Antony Robbins,Rs. 960,,,
Sumnima By Bp Koirala,Rs. 290,Rs. 300,-3%,
Grit: Why Passion And Resilience Are The Secrets To Success By Angela Duckworth,Rs. 790,Rs. 800,-1%,
Naso By Guru Prasad Mainali,Rs. 300,(1),,
Selling You By Hill Napoleon,Rs. 555,Rs. 560,-1%,
Five Point Someone By Chetan Bhagat,Rs. 390,Rs. 400,-3%,
"The Power (English, Hardcover By Rhonda Byrne","Rs. 1,280",,,
Crime And Punishment By Fyodor Dostoyevsky,Rs. 640,(1),,
The Family By Puzo Mario,Rs. 638,,,
Unshakeable By Tony Robbins,Rs. 900,Rs. 960,-6%,
Harry Potter And The Chamber Of Secret By J.K. Rowling,Rs. 880,,,
"Will Grayson, Will Grayson By John Green",Rs. 635,Rs. 640,-1%,
Word Power Made Easy By Norman Lewis,Rs. 400,(1),,
Raja Lear By William Shakespeare (Nepali),Rs. 125,,,
See You At The By Zig Ziglar,Rs. 505,Rs. 560,-10%,
Wonder By R.J Palacio,Rs. 635,Rs. 640,-1%,
City Of Dreams By Pranaya Sjb Rana,Rs. 472,,,
Namra Nivedan By Jaganath Upadhaya Gurugain,Rs. 110,Rs. 125,-12%,
Half Of A Yellow Sun By Chimanda Ngozi Adichie,Rs. 720,,,
Bridge Of Clay By Markus Zusak,"Rs. 1,025","Rs. 1,280",-20%,
The Backbenchers By Oberoi Sidharth,Rs. 180,Rs. 200,-10%,
The Book Of Man By Osho,Rs. 480,Rs. 500,-4%,
Outliers By Malcolm Gladwell,Rs. 960,(1),,
The Miracle Morning By Hal Elrod,Rs. 560,(3),,
The God Of Small Things By Arundhati Roy,Rs. 800,(1),,
Lajja By Taslima Nasrin,Rs. 470,Rs. 480,-2%,
Radha By Krishna Dharabasi,Rs. 599,Rs. 650,-8%,
Jeet Aafnai Haatma By Swett Marden,Rs. 225,Rs. 250,-10%,
Self Combo(The Richest Man In Babylon & The Leader In You),Rs. 720,,,
Siddhartha By Hermann Hesse,Rs. 299,Rs. 320,-7%,
Kumari Prashnaharu By Durga Karki,Rs. 360,Rs. 425,-15%,
Loktantra Ra Aajako Marxwaad By Chaitanya Mishra,Rs. 598,,,
Purple Hibiscus By Chimamanda Ngozi Adichie,Rs. 640,,,
Set Of Three( The Power Of Positive Thinking+The Power Of Your Subconscious Mind+Think And Grow Rich),"Rs. 1,050",,,
Dale Carnegie Combo Set(The Leader In You & How To Win Friends And Influence People),Rs. 798,,,
Little Women By Alcott Louisa May,Rs. 400,,,
Shortcut Your Startup,Rs. 800,,,
Some One Like You By Durjoy Datta & Nikita Singh,Rs. 315,Rs. 320,-2%,
Gestapo By Krishna Dharabasi,Rs. 375,,,
Postscript By Cecelia Ahern,Rs. 640,,,
Unlimited Power By Robbins Tony,Rs. 960,,,
Siddhartha By Hermann Hesse,Rs. 225,Rs. 250,-10%,
The New One Minute Manager By Ken Blanchard,Rs. 320,,,
Unsafe Thinking By Sachs Jonah,Rs. 795,Rs. 800,-1%,
Shakti By Rhonda Byrne,Rs. 315,Rs. 350,-10%,
The Forty Rules Of Love By Elif Shafak,Rs. 800,(1),,
Principles By Ray Dalio,"Rs. 1,999",(1),,
Black Beauty By Anna Sewell,Rs. 350,,,
Nathiya By Saraswati Pratikshya,Rs. 380,Rs. 450,-16%,
Frankenstein By Mary Shelley,Rs. 320,,,
Blue Mimosa By Parijat,Rs. 250,,,
Bestseller 2 Books(The Leader In You & You Can Win),"Rs. 1,040",,,
How To Enjoy Your Life And Your Job By Dale Carnegie,Rs. 350,,,
Self-Help Combo-2 (Think & Grow Rich+The Power Of Your Subconscious Mind),Rs. 700,(6),,
Fire And Blood By George R.R Martin,"Rs. 1,600",,,
Oliver Twist By Charles Dickens,Rs. 312,,,
Lost Horizon By James Hilton,Rs. 800,,,
26 Steps To Success By Robert H. Schuller,Rs. 320,,,
"Why Nations Fail: The Origins Of Power, Prosperity, & Poverty - Daron Acemoglu & James A. Robinson","Rs. 1,120",,,
Science Of Health By Khaptad Baba,Rs. 235,,,
Shiv Khera Combo Set,"Rs. 1,999",,,
India Positive - New Essays And Selected Columns - Simple Takes On India'S Burning Issues By Chetan Bhagat,Rs. 345,Rs. 360,-4%,
Start With Why By Simon Sinek,Rs. 960,,,
Amar Neupane Book Set,"Rs. 1,582","Rs. 1,758",-10%,
The Good Earth By Pearl S Buck,Rs. 640,,,
Sagarmathako Gahirai By Nawaraj Parajuli,Rs. 448,,,
12 Rules For Life By Jordan B. Peterson,"Rs. 1,120",(2),,
Hooked By Nir Eyal,Rs. 955,Rs. 960,-1%,
Kholako Geet By Upendra Subba,Rs. 225,Rs. 250,-10%,
The Most Important Thing By Howard Marks,Rs. 640,(1),,
Sakhee By Ramlal Joshi,Rs. 405,Rs. 450,-10%,
69 Things I Wish I Knew Before Getting Married By Parul Tyagi,Rs. 216,Rs. 240,-10%,
Rumi By Coleman Barks,Rs. 795,Rs. 800,-1%,(1)
Gullivers Travels By Jonathan Swift,Rs. 160,,,
Ghintang Ghisi Twak By Rupesh Shrestha,Rs. 285,Rs. 300,-5%,
Tales From The Secret Annex By Anne Frank,Rs. 320,,,
Chhaughar By Raj Sargam,Rs. 350,,,
The White Tiger By Aravind Adiga,Rs. 640,,,
One Night At The Call Centre By Chetan Bhagat,Rs. 390,Rs. 400,-3%,
Sumnima By Bp Koirala,Rs. 290,Rs. 300,-3%,
The Ministry Of Utmost Happiness By Arundhati Roy,Rs. 720,,,
Yogmaya By Neelam Karki Niharika,Rs. 535,Rs. 595,-10%,
Megaliving By Robin Sharma,Rs. 400,,,
Stupid White Men: ...And Other Sorry Excuses For The State Of The Nation By Michael Moore,Rs. 720,Rs. 800,-10%,
The Book Of Women By Osho,Rs. 480,Rs. 499,-4%,
The Backbenchers: Extra Class By Sidhartha Oberoi,Rs. 216,Rs. 240,-10%,
Bechiekee By Patricia Mccormick,Rs. 255,Rs. 300,-15%,
The Source By Swart Tara,Rs. 955,Rs. 960,-1%,
Siddhartha By Hesse Hermann,Rs. 320,Rs. 400,-20%,
The One Plus One By Jojo Moyes,Rs. 640,,,
Kara By Sushila Karki,Rs. 350,Rs. 380,-8%,
Man Ko Aadalat By Arjun Khadka,Rs. 315,Rs. 350,-10%,
Hajar Mile Ko Bato By Narayan Dhakal,Rs. 575,Rs. 650,-12%,
"Mandala Of Sherlock Holmes By Norbu, Jamyang",Rs. 864,Rs. 960,-10%,
Damini Bhir By Rajan Mukarung,Rs. 420,Rs. 425,-1%,
Norwegian Wood By Murakami,Rs. 960,,,
On The Come Up By Angie Thomas,Rs. 640,,,
The Godfather By Mario Puzo,Rs. 638,,,
The Winning Attitude By Jeff Keller,Rs. 400,(1),,
Pathshala By Tirtha Gurung,Rs. 400,,,
Half Girlfriend By Chetan Bhagat,Rs. 390,Rs. 400,-3%,
Ek Prarak Katha Aasadharan Chil By Richard Bakh,Rs. 67,Rs. 75,-11%,
Self Combo(The Power Of Positive Thinking & The Leader In You),Rs. 750,,,
One Hundred Years Of Solitude By Gabriel Garcia Marquez,Rs. 635,Rs. 640,-1%,
Dhani Haruka Panch Niyam Haru By Dr. Sudhir Dixit,Rs. 315,Rs. 350,-10%,
The Wayward Daughter By Shradha Ghale,Rs. 555,Rs. 560,-1%,
April Full By Krishana Acharya,Rs. 350,,,
Rora By Cecelia Ahern,Rs. 640,,,
Naya Sadak Ko Geet By Ramesh Bikal,Rs. 200,Rs. 235,-15%,
Namonama: By Mahesh Thapa,Rs. 225,Rs. 250,-10%,
Your Brain At Work By David Rock,Rs. 635,Rs. 640,-1%,
Naya Ghar By Aahuti,Rs. 475,Rs. 525,-10%,
Luna By Basudev Neupane,Rs. 350,,,
Quit Power: Growing Up As An Introvert In A World That Can'T Stop Talking - Susan Cain,Rs. 800,,,
Anuharharu By Shiram Singh Basnet,Rs. 210,Rs. 250,-16%,
